******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27
	0	0	Scroll of the Emperor	0	1	1	0	195	0	196	2	197	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	1	1	Ring of Honor	0	1	0	0	195	0	196	2	197	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	2	2	Broken Sword	3	1	1	0	195	0	196	2	197	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	3	3	Dark Stone	3	1	0	0	195	0	196	2	197	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	4	4	Lucky Box	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	5	5	Star of the Sacred Birth	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	6	6	Firecracker	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	7	7	Heart of Love	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	8	8	Olive of Love	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	9	9	Silver Medallion	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	10	10	Gold Medallion	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	11	11	Celestial Box	3	1	1	0	287	0	288	0	289	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	12	12	Box of Kundun +1	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	13	13	Box of Kundun +2	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	14	14	Box of Kundun +3	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	15	15	Box of Kundun +4	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	16	16	Box of Kundun +5	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
