Idx	ID	Text	Unk
0	0	One handed attack power: %d~%d	0
1	1	Two handed attack power: %d~%d	0
2	2	Number of items: %d	1
3	3	Armor: %d	2
4	4	Magic resistance: %d	3
5	5	Defense rate: %d	15
6	6	Attack speed: %d	101
7	7	Movement speed: %d	102
8	8	Durability: [%d/%d]	4
9	9	Minimum level required: %d	5
10	10	(Lacking %d levels)	201
11	11	Strength available: %d	6
12	12	(Lacking %d strength)	202
13	13	Agility available: %d	7
14	14	(Lacking: %d agility)	203
15	15	Available HP: %d	8
16	16	(Lacking %d HP)	204
17	17	Available energy: %d	9
18	18	(Lacking %d energy)	205
19	19	Command available: %d	10
20	20	(Lacking %d leadership)	206
21	21	Increases pet attack power by %d%%	11
22	22	Increases wizardry by %d%%	11
23	23	Increases curse spell by %d%%	11
24	24	Increases swimming speed	13
25	25	Increases movement speed	13
26	26	Increases damage by %d%%	207
27	27	Increases damage by %d%%	208
28	28	Increases damage by %d%%	209
29	29	Increases damage by %d%%	210
30	30	Absorbs %d%% of incoming DMG	208
31	31	Absorbs %d%% of incoming DMG	209
32	32	Absorbs %d%% of incoming DMG	210
33	33	Absorbs %d%% of incoming DMG	211
34	34	Absorbs %d%% of incoming DMG	212
35	35	Absorbs %d%% of incoming DMG	213
36	36	Absorbs %d%% of incoming DMG	214
37	37	Combines %d %s	215
38	38	Available after dismantling	-1
39	39	It is used to combine chaos items	-1
40	40	Throw it on the ground to make money and items appear.	-1
41	41	Fire attribute	-1
42	42	Water attribute	-1
43	43	Ice attribute	-1
44	44	Wind attribute	-1
45	45	Lightning attribute	-1
46	46	Earth attribute	-1
47	47	Element: : %s	216
48	48	Level: 1	-1
49	49	Level: 2	-1
50	50	Level: 3	-1
51	51	Level: 4	-1
52	52	Level: 5	-1
53	53	Increases by %s	217
54	54	Absorb 20%% of damage	-1
55	55	Increases maximum HP by +50	-1
56	56	HP: %d	1
57	57	Increases attack power and wizardry by 30%%	-1
58	58	Increases damage by 15%%	-1
59	59	Absorb 10%% of damage	-1
60	60	Unable to equip while wearing a different transformation ring	-1
61	61	Durability: [%d]	1
62	62	Used when creating a Cloak of Invisibility	-1
63	63	Used when entering the Blood Castle.	-1
64	64	Right click to see how much time is left.	-1
65	65	A #Horn Fragment can be made by combining the Divine Protection of the Goddess and an Armor Fragment.	-1
