Idx	Group	Index	Name	Color	Unk1	Unk2	Unk3	iInfoLine_1	Unk4	iInfoLine_2	Unk5	iInfoLine_3	Unk6	iInfoLine_4	Unk7	iInfoLine_5	Unk8	iInfoLine_6	Unk9	iInfoLine_7	Unk10	iInfoLine_8	Unk11	iInfoLine_9	Unk12	iInfoLine_10	Unk13	iInfoLine_11	Unk14	iInfoLine_12	Unk15	iInfoLine_13	Unk16	iInfoLine_14	Unk17	iInfoLine_15	Unk18
0	0	0	Kris	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1	0	1	Short Sword	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
2	0	2	Rapier	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
3	0	3	Katana	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
4	0	4	Sword of Assassin	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
5	0	5	Blade	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
6	0	6	Gladius	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
7	0	7	Falchion	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
8	0	8	Serpent Sword	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
9	0	9	Sword of Salamander	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
10	0	10	Light Saber	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
11	0	11	Legendary Sword	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
12	0	12	Heliacal Sword	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
13	0	13	Double Blade	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
14	0	14	Lighting Sword	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
15	0	15	Giant Sword	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
16	0	16	Sword of Destruction	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
17	0	17	Dark Breaker	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
18	0	18	Thunder Blade	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
19	0	19	Divine Sword of the Archangel	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
20	0	20	Knight's Blade	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
21	0	21	Dark Reign Blade	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0	-1	0	-1	0
22	0	22	Bone Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
23	0	23	Explosive Blade	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
24	0	24	Daybreak	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
25	0	25	Sword Dancer	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0	-1	0	-1	0
26	0	26	Flameberge	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
27	0	27	Sword Breaker	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
28	0	28	Rune Bastard Sword	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
29	0	29	Sonic Blade	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
30	0	30	Asura	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
31	0	31	Rune Blade	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0	-1	0	-1	0
32	0	32	Sacred Gloves	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
33	0	33	Holy Storm Claws	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
34	0	34	Piercing Blade Gloves	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
35	0	35	Phoenix Soul Star	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
36	0	36	Cyclone Sword	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
37	0	37	Blast Break	268	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
38	0	41	Pandora Pick (two-handed)	256	1	0	-1	8	0	416	0	417	0	418	0	286	2	1296	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
39	0	42	Bloodangel Sword	256	0	1	-1	0	0	1153	1	1154	1	1155	1	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0
