******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17
	0	0	1	0	(Level type)Attack/Wizardry increase	3	20	19	18	15	14	0	0	0	0	0	0	0	0
	1	1	1	1	Attack speed increase	1	7	8	9	10	11	0	0	0	0	0	0	0	0
	2	2	1	2	Maximum attack/Wizardry increase	1	30	32	35	40	50	0	0	0	0	0	0	0	0
	3	3	1	3	Minimum attack/Wizardry increase	1	20	22	25	30	35	0	0	0	0	0	0	0	0
	4	4	1	4	Attack/Wizardry increase	1	20	22	25	30	35	0	0	0	0	0	0	0	0
	5	5	1	5	AG cost decrease	2	40	41	42	43	44	0	0	0	0	0	0	0	0
	6	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	7	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10	10	2	0	Block rating increase	2	10	11	12	13	14	0	0	0	0	0	0	0	0
	11	11	2	1	Defense increase	1	30	33	36	39	42	0	0	0	0	0	0	0	0
	12	12	2	2	Shield protection increase	2	7	10	15	20	30	0	0	0	0	0	0	0	0
	13	13	2	3	Damage reduction	2	4	5	6	7	8	0	0	0	0	0	0	0	0
	14	14	2	4	Damage reflection	2	5	6	7	8	9	0	0	0	0	0	0	0	0
	15	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	16	16	3	0	Monster destruction for the Life increase	4	8	7	6	5	4	0	0	0	0	0	0	0	0
	17	17	3	1	Monster destruction for the Mana increase	5	8	7	6	5	4	0	0	0	0	0	0	0	0
	18	18	3	2	Skill attack increase	1	37	40	45	50	60	0	0	0	0	0	0	0	0
	19	19	3	3	Attack rating increase	1	25	27	30	35	40	0	0	0	0	0	0	0	0
	20	20	3	4	Item durability increase	2	30	32	34	36	38	0	0	0	0	0	0	0	0
	21	21	4	0	Automatic Life recovery increase	1	8	10	13	16	20	0	0	0	0	0	0	0	0
	22	22	4	1	Maximum Life increase	2	4	5	6	7	8	0	0	0	0	0	0	0	0
	23	23	4	2	Maximum Mana increase	2	4	5	6	7	8	0	0	0	0	0	0	0	0
	24	24	4	3	Automatic Mana recovery increase	1	7	14	21	28	35	0	0	0	0	0	0	0	0
	25	25	4	4	Maximum AG increase	1	50	70	90	110	130	0	0	0	0	0	0	0	0
	26	26	4	5	AG value increase	1	5	7	9	11	13	0	0	0	0	0	0	0	0
	27	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	28	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	29	29	5	0	Excellent damage increase	1	15	20	25	30	40	0	0	0	0	0	0	0	0
	30	30	5	1	Excellent damage rate increase	2	10	11	12	13	14	0	0	0	0	0	0	0	0
	31	31	5	2	Critical damage increase	1	30	32	35	40	50	0	0	0	0	0	0	0	0
	32	32	5	3	Critical damage rate increase	2	8	9	10	11	12	0	0	0	0	0	0	0	0
	33	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	34	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	35	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	36	36	6	2	Health increase	1	30	32	34	36	38	0	0	0	0	0	0	0	0
	37	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	38	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	39	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	40	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	41	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	42	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	43	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	44	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	45	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	46	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	47	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	48	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	49	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	50	0	0	0	Increases Attack	1	11	0	0	0	0	0	0	0	0	0	0	0	0
	51	1	0	0	Increase Skill Damage	1	11	0	0	0	0	0	0	0	0	0	0	0	0
	52	2	0	0	Increases Attack Power and Magical Damage	1	5	0	0	0	0	0	0	0	0	0	0	0	0
	53	3	0	0	Increase Skill Damage	1	11	0	0	0	0	0	0	0	0	0	0	0	0
	54	4	0	0	Increases Defense	1	24	0	0	0	0	0	0	0	0	0	0	0	0
	55	5	0	0	Increases MAX Life	1	29	0	0	0	0	0	0	0	0	0	0	0	0
	56	6	0	0	Increases Attack	1	22	0	0	0	0	0	0	0	0	0	0	0	0
	57	7	0	0	Increase Skill Damage	1	22	0	0	0	0	0	0	0	0	0	0	0	0
	58	8	0	0	Increases Attack Power and Magical Damage	1	10	0	0	0	0	0	0	0	0	0	0	0	0
	59	9	0	0	Increase Skill Damage	1	22	0	0	0	0	0	0	0	0	0	0	0	0
	60	10	0	0	Increases Defense	1	27	0	0	0	0	0	0	0	0	0	0	0	0
	61	11	0	0	Increases MAX Life	1	31	0	0	0	0	0	0	0	0	0	0	0	0
	62	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	63	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	64	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	65	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	66	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	67	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	68	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	69	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	70	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	71	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
	72	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
