******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	Index	ElementType	Level	Name	BonusType	BonusValue1	BonusValue2	BonusValue3	BonusValue4	BonusValue5	BonusValue6	BonusValue7	BonusValue8	BonusValue9	BonusValue10	BonusValue11	BonusValue12	BonusValue13	BonusValue14	BonusValue15	BonusValue16	BonusValue17	BonusValue18	BonusValue19	BonusValue20	SeedCountFire	SeedCountWater	SeedCountIce	SeedCountWind	SeedCountLight	SeedCountEarth	Unk1	Unk2
	0	0	1	0	Increases DMG and Wizardry DMG for every 20 levels.	3	11	12	13	14	15	16	17	18	19	20	22	24	27	30	33	37	41	45	50	60	0	0	0	0	0	0	0	0
	1	1	1	1	Attack speed increase	1	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	0	0	0	0	0	0	0	0
	2	2	1	2	Maximum attack/Wizardry increase	1	30	32	35	40	45	50	55	61	67	73	83	93	103	113	123	136	149	162	175	188	0	0	0	0	0	0	0	0
	3	3	1	3	Minimum attack/Wizardry increase	1	20	22	25	30	35	40	45	51	57	63	73	83	93	103	113	126	139	152	165	178	0	0	0	0	0	0	0	0
	4	4	1	4	Attack/Wizardry increase	1	20	22	25	30	35	40	45	51	57	63	73	83	93	103	113	126	139	152	165	178	0	0	0	0	0	0	0	0
	5	5	1	5	AG cost decrease	2	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	0	0	0	0	0	0	0	0
	6	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	7	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	9	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10	10	2	0	Block rating increase	2	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	0	0	0	0	0	0	0	0
	11	11	2	1	Defense increase	1	30	33	36	39	41	44	47	51	55	60	65	71	77	84	91	99	107	116	125	135	0	0	0	0	0	0	0	0
	12	12	2	2	Shield protection increase	2	100	150	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	0	0	0	0	0	0	0	0
	13	13	2	3	Damage reduction	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	0	0	0	0	0	0	0	0
	14	14	2	4	Damage reflection	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	0	0	0	0	0	0	0	0
	15	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	16	16	3	0	Monster destruction for the Life increase	1	250	280	310	340	372	404	436	471	506	541	578	615	652	689	726	766	806	846	886	926	0	0	0	0	0	0	0	0
	17	17	3	1	Monster destruction for the Mana increase	1	400	450	500	550	601	652	703	755	807	859	914	969	1024	1079	1134	1191	1248	1305	1362	1419	0	0	0	0	0	0	0	0
	18	18	3	2	Skill attack increase	1	37	40	45	50	57	64	71	80	89	100	113	126	139	152	165	180	195	210	225	240	0	0	0	0	0	0	0	0
	19	19	3	3	Attack rating increase	1	25	27	30	35	42	49	56	65	74	83	94	105	116	127	138	153	168	186	204	222	0	0	0	0	0	0	0	0
	20	20	3	4	Item durability increase	2	30	32	34	36	40	44	49	54	60	66	73	80	88	96	105	114	124	134	145	165	0	0	0	0	0	0	0	0
	21	21	4	0	Automatic Life recovery increase	1	8	10	13	16	21	26	31	38	45	52	61	70	79	88	97	110	123	136	149	162	0	0	0	0	0	0	0	0
	22	22	4	1	Maximum Life increase	1	100	115	130	145	165	185	205	235	265	295	335	375	415	455	495	545	595	645	695	745	0	0	0	0	0	0	0	0
	23	23	4	2	Maximum Mana increase	1	150	165	180	195	215	235	255	285	315	345	385	425	465	505	545	595	645	695	745	795	0	0	0	0	0	0	0	0
	24	24	4	3	Automatic Mana recovery increase	1	7	14	21	28	37	46	55	66	77	88	101	114	127	140	153	171	189	207	225	243	0	0	0	0	0	0	0	0
	25	25	4	4	Maximum AG increase	1	70	82	95	110	126	143	162	182	203	226	250	275	302	330	359	390	422	455	490	526	0	0	0	0	0	0	0	0
	26	26	4	5	AG value increase	1	5	7	9	11	13	15	17	19	21	23	25	27	29	31	33	35	37	39	41	43	0	0	0	0	0	0	0	0
	27	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
